answer
361
4480
4106
1005
1836
2063
1198
1252
105
238
3685
3883
4954
2274
1821
276
284
1196
1374
1085
2377
4943
3424
2494
145
3459
827
276
2280
663
3335
708
284
2101
1404
2101
1281
3968
4738
4106
3479
1357
647
1646
362
2657
397
3424
115
203
1667
4171
3229
4758
1749
3335
1324
123
361
444
505
125
3102
2639
4945
880
2848
484
140
1943
189
2854
1343
1404
4136
908
125
4053
251
505
2949
98
874
4545
2274
1740
284
484
57
1673
2
4319
1667
345
3314
4091
4836
1755
986
4642
80
266
193
2522
483
908
3613
4836
4715
1855
284
908
4735
4446
3391
767
4243
1074
839
484
1369
3314
3695
4634
4880
2848
4005
588
2862
238
125
1053
108
125
946
3335
3881
3198
274
908
2514
3109
1846
4888
2874
1485
4171
241
908
817
2349
1751
740
484
85
1646
2796
4702
4493
3740
264
4954
647
145
3431
2667
704
205
2816
983
3037
203
125
203
1879
112
789
3258
1128
3657
1601
2139
2322
1443
4675
276
4533
648
238
3459
175
175
1118
4086
1601
1087
1684
3564
2468
197
2468
647
1253
3939
98
1960
1980
2672
145
459
1443
2548
62
2548
2139
925
740
2377
839
4807
3496
3496
4799
444
4799
3320
323
125
4740
189
137
2444
2821
3040
2105
2949
2105
3435
125
80
3355
2949
4847
4091
6
2342
3141
4139
3022
4985
1880
352
4575
1322
3459
240
3554
193
85
2296
4642
3735
744
3510
361
3335
647
3501
3501
2657
3754
4642
953
1774
1143
4671
240
3459
2696
1357
3300
2549
648
2342
1602
4207
1988
2280
1653
679
1601
1611
4814
191
2639
145
4106
1740
4270
2830
2086
3459
98
57
160
4888
740
4814
3182
4533
4533
3237
3068
4826
4775
1522
3438
2196
3432
1818
4177
4814
4336
983
2105
2280
4782
2356
4226
4344
4445
3715
740
2851
3182
1418
4382
4394
389
284
4043
2138
2773
3676
3660
882
2280
2903
276
4005
2274
3335
1102
1178
4791
4778
2636
1722
2848
4469
532
3662
2499
2356
1611
10
2949
1857
525
882
2274
116
1611
1995
679
297
2454
4814
437
437
1774
2083
773
1197
3725
1667
4256
2220
647
1252
4665
571
4573
4955
2458
4446
4836
2945
4635
3685
284
2975
648
1053
14
1774
193
105
4599
617
4520
3519
4469
989
444
708
1732
4572
2274
4735
125
4
4735
2468
239
2468
98
632
4894
2280
42
3519
2104
3459
4661
1711
2820
297
2355
2906
3227
2086
972
442
284
3475
1443
203
532
255
4783
4783
4945
2686
1461
240
4432
4847
145
484
786
3763
3965
4665
2139
583
331
4391
647
2274
647
3337
2342
3022
80
3479
4245
4344
4344
3431
2025
85
3111
4475
679
2
1288
773
558
702
3295
3571
1646
740
789
663
145
4926
4245
145
1611
4767
960
