0,1118,5.0
0,0,4.0
0,1118,5.0
0,0,4.0
1,4446,5.0
1,0,5.0
2,1,4.0
3,3823,5.0
3,4783,5.0
3,740,5.0
3,1906,5.0
3,4091,5.0
3,4177,5.0
3,3300,5.0
3,812,5.0
3,4827,5.0
3,2733,5.0
3,2,5.0
3,647,5.0
3,1653,5.0
3,4810,4.0
3,1252,5.0
3,357,5.0
3,1984,5.0
3,2756,5.0
3,903,5.0
3,908,5.0
3,994,5.0
3,3551,5.0
3,983,5.0
3,3813,5.0
3,1498,5.0
3,1646,5.0
3,1633,4.0
4,773,4.0
4,4468,4.0
4,994,4.0
4,976,4.0
4,3050,4.0
4,4026,5.0
4,1829,0.0
4,697,4.0
4,1477,5.0
4,4814,4.0
4,1955,4.0
4,3037,5.0
4,1197,4.0
4,3263,4.0
4,685,4.0
4,2,5.0
4,767,5.0
4,866,5.0
4,1022,5.0
4,297,5.0
5,3070,3.0
5,3488,3.0
5,1347,2.0
5,1089,5.0
5,3,4.0
5,2218,4.0
5,786,5.0
5,648,4.0
5,1690,4.0
5,3194,4.0
5,2036,4.0
6,3,5.0
7,2947,0.0
7,3,0.0
8,4091,5.0
8,2816,5.0
8,2537,5.0
8,3,5.0
8,4945,4.0
9,3,5.0
10,437,5.0
10,4336,5.0
10,4782,5.0
10,4482,4.0
10,2549,5.0
10,2848,5.0
10,1601,4.0
10,4735,5.0
10,324,4.0
10,679,5.0
10,4,4.0
10,1357,5.0
10,257,4.0
10,2220,5.0
10,966,4.0
10,4894,5.0
10,4932,5.0
10,2083,5.0
10,4945,5.0
10,2754,4.0
10,88,5.0
11,4,5.0
11,2166,4.0
12,5,5.0
13,4390,5.0
13,5,4.0
14,5,5.0
15,6,5.0
16,4048,4.0
16,3939,5.0
16,193,5.0
16,4091,5.0
16,7,5.0
16,1755,4.0
16,4493,5.0
17,3175,5.0
17,1724,3.0
17,3182,5.0
17,3732,5.0
17,1862,5.0
17,2458,5.0
17,4372,5.0
17,1288,5.0
17,986,5.0
17,1734,5.0
17,2820,5.0
17,2245,4.0
17,4854,5.0
17,994,2.0
17,3623,5.0
17,4175,4.0
17,3174,5.0
17,4091,5.0
17,3143,5.0
17,1605,5.0
17,3217,5.0
17,1567,5.0
17,3201,5.0
17,120,5.0
17,4977,4.0
17,2827,4.0
17,3704,5.0
17,2909,4.0
17,2647,4.0
17,1197,5.0
17,2850,4.0
17,1728,5.0
17,4296,3.0
17,4045,5.0
17,3810,5.0
17,3990,4.0
17,4491,5.0
17,4093,5.0
17,555,5.0
17,1057,5.0
17,484,5.0
17,4955,5.0
17,8,5.0
17,115,5.0
18,9,5.0
19,1385,0.0
19,3604,4.0
19,4918,5.0
19,4827,5.0
19,4432,5.0
19,708,5.0
19,3064,4.0
19,9,5.0
19,297,5.0
19,1128,5.0
19,125,5.0
19,1343,5.0
20,437,5.0
20,4629,5.0
20,1205,5.0
20,10,5.0
20,1334,4.0
20,4275,5.0
20,238,5.0
20,1053,5.0
20,4634,5.0
20,2099,4.0
20,3676,5.0
20,3165,5.0
20,420,5.0
20,4708,5.0
20,1602,5.0
20,2882,3.0
20,463,4.0
20,4442,5.0
20,3955,5.0
21,10,5.0
22,11,4.0
23,605,5.0
23,11,5.0
23,1388,5.0
24,4665,5.0
24,2949,5.0
24,7,5.0
24,1645,5.0
25,3885,5.0
25,2819,4.0
