constraint
"(67, None, 1168, None)"
"(68, None, 2499, None)"
"(68, None, 5010, None)"
"(68, None, 6906, None)"
"(69, None, 800, None)"
"(69, None, 3184, None)"
"(69, None, 63, None)"
"(70, None, 840, None)"
"(70, None, 2499, None)"
"(70, None, 5010, None)"
"(71, None, 800, None)"
"(71, None, 63, None)"
"(71, None, 1168, None)"
"(72, None, 5010, None)"
"(72, None, 4717, None)"
"(72, None, 332, None)"
"(73, None, 5006, None)"
"(73, None, 3203, None)"
"(73, None, 4717, None)"
"(74, None, 6270, None)"
"(74, None, 2499, None)"
"(74, None, 5010, None)"
"(75, None, 6906, None)"
"(75, None, 7655, None)"
"(75, None, 2683, None)"
"(76, None, 6270, None)"
"(76, None, 840, None)"
"(76, None, 2499, None)"
"(77, None, 335, None)"
"(77, None, 7449, None)"
"(77, None, 1511, None)"
"(78, None, 3203, None)"
"(78, None, 5319, None)"
"(78, None, 332, None)"
"(79, None, 6270, None)"
"(79, None, 840, None)"
"(79, None, 2499, None)"
"(80, None, 3203, None)"
"(80, None, 5319, None)"
"(80, None, 6335, None)"
"(81, None, 840, None)"
"(81, None, 5010, None)"
"(81, None, 5006, None)"
"(82, None, 4253, None)"
"(82, None, 4623, None)"
"(82, None, 1124, None)"
"(83, None, 6270, None)"
"(83, None, 840, None)"
"(83, None, 2499, None)"
"(84, None, 840, None)"
"(84, None, 5010, None)"
"(84, None, 5006, None)"
"(85, None, 7655, None)"
"(85, None, 2683, None)"
"(85, None, 4253, None)"
"(86, None, 840, None)"
"(86, None, 2499, None)"
"(86, None, 6906, None)"
"(87, None, 6270, None)"
"(87, None, 840, None)"
"(87, None, 2499, None)"
"(88, None, 6270, None)"
"(88, None, 840, None)"
"(88, None, 2499, None)"
"(89, None, 5006, None)"
"(89, None, 3203, None)"
"(89, None, 5319, None)"
"(90, None, 6270, None)"
"(90, None, 840, None)"
"(90, None, 2499, None)"
"(91, None, 7655, None)"
"(91, None, 4717, None)"
"(91, None, 800, None)"
"(92, None, 6270, None)"
"(92, None, 840, None)"
"(92, None, 5010, None)"
"(93, None, 6270, None)"
"(93, None, 840, None)"
"(93, None, 2499, None)"
"(94, None, '', None)"
"(95, None, 2499, None)"
"(95, None, 5010, None)"
"(95, None, 6906, None)"
"(96, None, 5010, None)"
"(96, None, 5006, None)"
"(96, None, 3203, None)"
"(97, None, 6335, None)"
"(97, None, 63, None)"
"(97, None, 5180, None)"
"(98, None, 7655, None)"
"(98, None, 2683, None)"
"(98, None, 5319, None)"
"(99, None, 5010, None)"
"(99, None, 6906, None)"
"(99, None, 3203, None)"
"(100, None, 332, None)"
"(100, None, 7449, None)"
"(100, None, 7557, None)"
"(101, None, 2499, None)"
